100, 44
101, 00
102, 09 //LDW 0900
103, 6C// STW R0
104, 28
105, 00// LD (R0)0
106, 94
107, 00
108, 08 //SUB 0800
109, 01 
10A, 05//BGRE 05
10B, 28
10C, 00// LD (R0)0
10D, 54
10E, 00
10F, 08// ST 0800
110, 24
111, 00
112, 05 //LD 0500
113, 90
114, 01 //SUB IMMED 1
115, 08
116, 0E//BEQL 0E
117, 54
118, 00
119, 05 //ST 0500
11A, 24
11B, 00
11C, 09 //LDW 0900
11D, 80
11E, 01//ADD IMMED 1
11F, 54
120, 00
121, 09//ST 0900
122, 10
123, 00
124, 01//JUMP 0100 
125, 24
126, 00
127, 08//LD 0800
128, FE


500, 14
800, 7F
900, 00
901, 10

1000, 09
1001, A9
1002, 21
1003, 64
1004, 25
1005, 07
1006, 1F
1007, 12
1008, 03
1009, 14
100A, 2C
100B, 70
100C, 78
100D, 49
100E, 06
100F, 01
1010, 53
1011, 94
1012, 1B
1013, 4D
